industrial-classification-2007	name	parent	start-date	end-date
U	Activities of extraterritorial organisations and bodies			
This division includes the provision of remediation services, i.e. the cleanup of contaminated buildings and sites, soil, surface or ground water.		industrial-classification-2007:E		
T	Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use			
S	Other service activities			
R	Arts, entertainment and recreation			
Q	Human health and social work activities			
P	Education			
O	Public administration and defence; compulsory social security			
N	Administrative and support service activities			
M	Professional, scientific and technical activities			
L	Real estate activities			
K	Financial and insurance activities			
J	Information and communication			
I	Accommodation and food service activities			
H	Transportation and storage			
G	Wholesale and retail trade; repair of motor vehicles and motorcycles			
F	Construction			
E	Water supply; sewerage, waste management and remediation activities			
D	Electricity, gas, steam and air conditioning supply			
C	Manufacturing			
B	Mining and quarrying			
A	Agriculture, forestry and fishing			
62.01/1	Ready-made interactive leisure and entertainment software development	industrial-classification-2007:62.01		
62.01	Computer programming activities	industrial-classification-2007:62.0		
62.0	Computer programming, consultancy and related activities	industrial-classification-2007:62		
62	Computer programming, consultancy and related activities	industrial-classification-2007:J		
61.90	Other telecommunications activities	industrial-classification-2007:61.9		
61.9	Other telecommunications activities	industrial-classification-2007:61		
61.30	Satellite telecommunications activities	industrial-classification-2007:61.3		
61.3	Satellite telecommunications activities	industrial-classification-2007:61		
61.20	Wireless telecommunications activities	industrial-classification-2007:61.2		
61.2	Wireless telecommunications activities	industrial-classification-2007:61		
61.10	Wired telecommunications activities	industrial-classification-2007:61.1		
61.1	Wired telecommunications activities	industrial-classification-2007:61		
61	Telecommunications	industrial-classification-2007:J		
60.20	Television programming and broadcasting activities	industrial-classification-2007:60.2		
60.2	Television programming and broadcasting activities	industrial-classification-2007:60		
60.10	Radio broadcasting	industrial-classification-2007:60.1		
60.1	Radio broadcasting	industrial-classification-2007:60		
60	Programming and broadcasting activities	industrial-classification-2007:J		
59.20	Sound recording and music publishing activities	industrial-classification-2007:59.2		
59.2	Sound recording and music publishing activities	industrial-classification-2007:59		
59.14	Motion picture projection activities	industrial-classification-2007:59.1		
59.13/3	Television programme distribution activities	industrial-classification-2007:59.13		
59.13/2	Video distribution activities	industrial-classification-2007:59.13		
59.13/1	Motion picture distribution activities	industrial-classification-2007:59.13		
59.13	Motion picture, video and television programme distribution activities	industrial-classification-2007:59.1		
59.12	Motion picture, video and television programme post-production activities	industrial-classification-2007:59.1		
59.11/3	Television programme production activities	industrial-classification-2007:59.11		
59.11/2	Video production activities	industrial-classification-2007:59.11		
59.11/1	Motion picture production activities	industrial-classification-2007:59.11		
59.11	Motion picture, video and television programme production activities	industrial-classification-2007:59.1		
59.1	Motion picture, video and television programme activities	industrial-classification-2007:59		
59	Motion picture, video and television programme production, sound recording and music publishing activities	industrial-classification-2007:J		
58.29	Other software publishing	industrial-classification-2007:58.2		
58.21	Publishing of computer games	industrial-classification-2007:58.2		
58.2	Software publishing	industrial-classification-2007:58		
58.19	Other publishing activities	industrial-classification-2007:58.1		
58.14/2	Publishing of consumer, business and professional journals and periodicals	industrial-classification-2007:58.14		
58.14/1	Publishing of learned journals	industrial-classification-2007:58.14		
58.14	Publishing of journals and periodicals	industrial-classification-2007:58.1		
58.13	Publishing of newspapers	industrial-classification-2007:58.1		
58.12	Publishing of directories and mailing lists	industrial-classification-2007:58.1		
58.11	Book publishing	industrial-classification-2007:58.1		
58.1	Publishing of books, periodicals and other publishing activities	industrial-classification-2007:58		
58	Publishing activities	industrial-classification-2007:J		
56.30/2	Public houses and bars	industrial-classification-2007:56.30		
56.30/1	Licensed clubs	industrial-classification-2007:56.30		
56.30	Beverage serving activities	industrial-classification-2007:56.3		
56.3	Beverage serving activities	industrial-classification-2007:56		
56.29	Other food service activities	industrial-classification-2007:56.2		
56.21	Event catering activities	industrial-classification-2007:56.2		
56.2	Event catering and other food service activities	industrial-classification-2007:56		
56.10/3	Take away food shops and mobile food stands	industrial-classification-2007:56.10		
56.10/2	Unlicensed restaurants and cafes	industrial-classification-2007:56.10		
56.10/1	Licensed restaurants	industrial-classification-2007:56.10		
56.10	Restaurants and mobile food service activities	industrial-classification-2007:56.1		
56.1	Restaurants and mobile food service activities	industrial-classification-2007:56		
56	Food and beverage service activities	industrial-classification-2007:I		
55.90	Other accommodation	industrial-classification-2007:55.9		
55.9	Other accommodation	industrial-classification-2007:55		
55.30	Camping grounds, recreational vehicle parks and trailer parks	industrial-classification-2007:55.3		
55.3	Camping grounds, recreational vehicle parks and trailer parks	industrial-classification-2007:55		
55.20/9	Other holiday and other short-stay accommodation (not including holiday centres and villages or youth hostels) n.e.c.	industrial-classification-2007:55.20		
55.20/2	Youth hostels	industrial-classification-2007:55.20		
55.20/1	Holiday centres and villages	industrial-classification-2007:55.20		
55.20	Holiday and other short-stay accommodation	industrial-classification-2007:55.2		
55.2	Holiday and other short-stay accommodation	industrial-classification-2007:55		
55.10	Hotels and similar accommodation	industrial-classification-2007:55.1		
55.1	Hotels and similar accommodation	industrial-classification-2007:55		
55	Accommodation	industrial-classification-2007:I		
53.20/2	Unlicensed Carriers	industrial-classification-2007:53.20		
53.20/1	Licensed Carriers	industrial-classification-2007:53.20		
53.20	Other postal and courier activities	industrial-classification-2007:53.2		
53.2	Other postal and courier activities	industrial-classification-2007:53		
53.10	Postal activities under universal service obligation	industrial-classification-2007:53.1		
53.1	Postal activities under universal service obligation	industrial-classification-2007:53		
53	Postal and courier activities	industrial-classification-2007:H		
52.29	Other transportation support activities	industrial-classification-2007:52.2		
52.24/3	Cargo handling for land transport activities of division 49	industrial-classification-2007:52.24		
52.24/2	Cargo handling for air transport activities of division 51	industrial-classification-2007:52.24		
52.24/1	Cargo handling for water transport activities of division 50	industrial-classification-2007:52.24		
52.24	Cargo handling	industrial-classification-2007:52.2		
52.23	Service activities incidental to air transportation	industrial-classification-2007:52.2		
52.22	Service activities incidental to water transportation	industrial-classification-2007:52.2		
52.21/9	Other service activities incidental to land transportation, n.e.c. (not including operation of rail freight terminals, passenger facilities at railway stations or passenger facilities at bus and coach stations)	industrial-classification-2007:52.21		
52.21/3	Operation of bus and coach passenger facilities at bus and coach stations	industrial-classification-2007:52.21		
52.21/2	Operation of rail passenger facilities at railway stations	industrial-classification-2007:52.21		
52.21/1	Operation of rail freight terminals	industrial-classification-2007:52.21		
52.21	Service activities incidental to land transportation	industrial-classification-2007:52.2		
52.2	Support activities for transportation	industrial-classification-2007:52		
52.10/3	Operation of warehousing and storage facilities for land transport activities of division 49	industrial-classification-2007:52.10		
52.10/2	Operation of warehousing and storage facilities for air transport activities of division 51	industrial-classification-2007:52.10		
52.10/1	Operation of warehousing and storage facilities for water transport activities of division 50	industrial-classification-2007:52.10		
52.10	Warehousing and storage	industrial-classification-2007:52.1		
52.1	Warehousing and storage	industrial-classification-2007:52		
52	Warehousing and support activities for transportation	industrial-classification-2007:H		
51.22	Space transport	industrial-classification-2007:51.2		
51.21	Freight air transport	industrial-classification-2007:51.2		
51.2	Freight air transport and space transport	industrial-classification-2007:51		
51.10/2	Non-scheduled passenger air transport	industrial-classification-2007:51.10		
51.10/1	Scheduled passenger air transport	industrial-classification-2007:51.10		
51.10	Passenger air transport	industrial-classification-2007:51.1		
51.1	Passenger air transport	industrial-classification-2007:51		
51	Air transport	industrial-classification-2007:H		
50.40	Inland freight water transport	industrial-classification-2007:50.4		
50.4	Inland freight water transport	industrial-classification-2007:50		
50.30	Inland passenger water transport	industrial-classification-2007:50.3		
50.3	Inland passenger water transport	industrial-classification-2007:50		
50.20	Sea and coastal freight water transport	industrial-classification-2007:50.2		
50.2	Sea and coastal freight water transport	industrial-classification-2007:50		
50.10	Sea and coastal passenger water transport	industrial-classification-2007:50.1		
50.1	Sea and coastal passenger water transport	industrial-classification-2007:50		
50	Water transport	industrial-classification-2007:H		
49.50	Transport via pipeline	industrial-classification-2007:49.5		
49.5	Transport via pipeline	industrial-classification-2007:49		
49.42	Removal services	industrial-classification-2007:49.4		
49.41	Freight transport by road	industrial-classification-2007:49.4		
49.4	Freight transport by road and removal services	industrial-classification-2007:49		
49.39	Other passenger land transport n.e.c.	industrial-classification-2007:49.3		
49.32	Taxi operation	industrial-classification-2007:49.3		
49.31/9	Urban, suburban or metropolitan area passenger land transport other than railway transportation by underground, metro and similar systems	industrial-classification-2007:49.31		
49.31/1	Urban, suburban or metropolitan area passenger railway transportation by underground, metro and similar systems	industrial-classification-2007:49.31		
49.31	Urban and suburban passenger land transport	industrial-classification-2007:49.3		
49.3	Other passenger land transport	industrial-classification-2007:49		
49.20	Freight rail transport	industrial-classification-2007:49.2		
49.2	Freight rail transport	industrial-classification-2007:49		
49.10	Passenger rail transport, interurban	industrial-classification-2007:49.1		
49.1	Passenger rail transport, interurban	industrial-classification-2007:49		
49	Land transport and transport via pipelines	industrial-classification-2007:H		
47.99	Other retail sale not in stores, stalls or markets	industrial-classification-2007:47.9		
47.91	Retail sale via mail order houses or via Internet	industrial-classification-2007:47.9		
47.9	Retail trade not in stores, stalls or markets	industrial-classification-2007:47		
47.89	Retail sale via stalls and markets of other goods	industrial-classification-2007:47.8		
47.82	Retail sale via stalls and markets of textiles, clothing and footwear	industrial-classification-2007:47.8		
47.81	Retail sale via stalls and markets of food, beverages and tobacco products	industrial-classification-2007:47.8		
47.8	Retail sale via stalls and markets	industrial-classification-2007:47		
47.79/9	Retail sale of second-hand goods (other than antiques and antique books) in stores	industrial-classification-2007:47.79		
47.79/1	Retail sale of antiques including antique books, in stores	industrial-classification-2007:47.79		
47.79	Retail sale of second-hand goods in stores	industrial-classification-2007:47.7		
47.78/9	Other retail sale of new goods in specialised stores (other than by opticians or commercial art galleries), n.e.c	industrial-classification-2007:47.78		
47.78/2	Retail sale by opticians	industrial-classification-2007:47.78		
47.78/1	Retail sale in commercial art galleries	industrial-classification-2007:47.78		
47.78	Other retail sale of new goods in specialised stores	industrial-classification-2007:47.7		
47.77	Retail sale of watches and jewellery in specialised stores	industrial-classification-2007:47.7		
47.76	Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores	industrial-classification-2007:47.7		
47.75	Retail sale of cosmetic and toilet articles in specialised stores	industrial-classification-2007:47.7		
47.74/9	Retail sale of medical and orthopaedic goods (other than hearing aids) n.e.c., in specialised stores	industrial-classification-2007:47.74		
47.74/1	Retail sale of hearing aids in specialised stores	industrial-classification-2007:47.74		
47.74	Retail sale of medical and orthopaedic goods in specialised stores	industrial-classification-2007:47.7		
47.73	Dispensing chemist in specialised stores	industrial-classification-2007:47.7		
47.72/2	Retail sale of leather goods in specialised stores	industrial-classification-2007:47.72		
47.72/1	Retail sale of footwear in specialised stores	industrial-classification-2007:47.72		
47.72	Retail sale of footwear and leather goods in specialised stores	industrial-classification-2007:47.7		
47.71	Retail sale of clothing in specialised stores	industrial-classification-2007:47.7		
47.7	Retail sale of other goods in specialised stores	industrial-classification-2007:47		
47.65	Retail sale of games and toys in specialised stores	industrial-classification-2007:47.6		
47.64	Retail sale of sporting equipment in specialised stores	industrial-classification-2007:47.6		
47.63	Retail sale of music and video recordings in specialised stores	industrial-classification-2007:47.6		
47.62	Retail sale of newspapers and stationery in specialised stores	industrial-classification-2007:47.6		
47.61	Retail sale of books in specialised stores	industrial-classification-2007:47.6		
47.6	Retail sale of cultural and recreation goods in specialised stores	industrial-classification-2007:47		
47.59/9	Retail sale of furniture, lighting equipment and other household articles (other than musical instruments) n.e.c., in specialised stores	industrial-classification-2007:47.59		
47.59/1	Retail sale of musical instruments and scores in specialised stores	industrial-classification-2007:47.59		
47.59	Retail sale of furniture, lighting equipment and other household articles in specialised stores	industrial-classification-2007:47.5		
47.54	Retail sale of electrical household appliances in specialised stores	industrial-classification-2007:47.5		
47.53	Retail sale of carpets, rugs, wall and floor coverings in specialised stores	industrial-classification-2007:47.5		
47.52	Retail sale of hardware, paints and glass in specialised stores	industrial-classification-2007:47.5		
47.51	Retail sale of textiles in specialised stores	industrial-classification-2007:47.5		
47.5	Retail sale of other household equipment in specialised stores	industrial-classification-2007:47		
47.43	Retail sale of audio and video equipment in specialised stores	industrial-classification-2007:47.4		
47.42/9	Retail sale of telecommunications equipment (other than mobile telephones) n.e.c., in specialised stores	industrial-classification-2007:47.42		
47.42/1	Retail sale of mobile telephones in specialised stores	industrial-classification-2007:47.42		
47.42	Retail sale of telecommunications equipment in specialised stores	industrial-classification-2007:47.4		
47.41	Retail sale of computers, peripheral units and software in specialised stores	industrial-classification-2007:47.4		
47.4	Retail sale of information and communication equipment in specialised stores	industrial-classification-2007:47		
47.30	Retail sale of automotive fuel in specialised stores	industrial-classification-2007:47.3		
47.3	Retail sale of automotive fuel in specialised stores	industrial-classification-2007:47		
47.29	Other retail sale of food in specialised stores	industrial-classification-2007:47.2		
47.26	Retail sale of tobacco products in specialised stores	industrial-classification-2007:47.2		
47.25	Retail sale of beverages in specialised stores	industrial-classification-2007:47.2		
47.24	Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores	industrial-classification-2007:47.2		
47.23	Retail sale of fish, crustaceans and molluscs in specialised stores	industrial-classification-2007:47.2		
47.22	Retail sale of meat and meat products in specialised stores	industrial-classification-2007:47.2		
47.21	Retail sale of fruit and vegetables in specialised stores	industrial-classification-2007:47.2		
47.2	Retail sale of food, beverages and tobacco in specialised stores	industrial-classification-2007:47		
47.19	Other retail sale in non-specialised stores	industrial-classification-2007:47.1		
47.11	Retail sale in non-specialised stores with food, beverages or tobacco predominating	industrial-classification-2007:47.1		
47.1	Retail sale in non-specialised stores	industrial-classification-2007:47		
47	Retail trade, except of motor vehicles and motorcycles	industrial-classification-2007:G		
46.90	Non-specialised wholesale trade	industrial-classification-2007:46.9		
46.9	Non-specialised wholesale trade	industrial-classification-2007:46		
46.77	Wholesale of waste and scrap	industrial-classification-2007:46.7		
46.76	Wholesale of other intermediate products	industrial-classification-2007:46.7		
46.75	Wholesale of chemical products	industrial-classification-2007:46.7		
46.74	Wholesale of hardware, plumbing and heating equipment and supplies	industrial-classification-2007:46.7		
46.73	Wholesale of wood, construction materials and sanitary equipment	industrial-classification-2007:46.7		
46.72	Wholesale of metals and metal ores	industrial-classification-2007:46.7		
46.71/9	Wholesale of fuels and related products (other than petroleum and petroleum products)	industrial-classification-2007:46.71		
46.71/1	Wholesale of petroleum and petroleum products	industrial-classification-2007:46.71		
46.71	Wholesale of solid, liquid and gaseous fuels and related products	industrial-classification-2007:46.7		
46.7	Other specialised wholesale	industrial-classification-2007:46		
46.69	Wholesale of other machinery and equipment	industrial-classification-2007:46.6		
46.66	Wholesale of other office machinery and equipment	industrial-classification-2007:46.6		
46.65	Wholesale of office furniture	industrial-classification-2007:46.6		
46.64	Wholesale of machinery for the textile industry and of sewing and knitting machines	industrial-classification-2007:46.6		
46.63	Wholesale of mining, construction and civil engineering machinery	industrial-classification-2007:46.6		
46.62	Wholesale of machine tools	industrial-classification-2007:46.6		
46.61	Wholesale of agricultural machinery, equipment and supplies	industrial-classification-2007:46.6		
46.6	Wholesale of other machinery, equipment and supplies	industrial-classification-2007:46		
46.52	Wholesale of electronic and telecommunications equipment and parts	industrial-classification-2007:46.5		
46.51	Wholesale of computers, computer peripheral equipment and software	industrial-classification-2007:46.5		
46.5	Wholesale of information and communication equipment	industrial-classification-2007:46		
46.49/9	Wholesale of household goods (other than musical instruments) n.e.c.	industrial-classification-2007:46.49		
46.49/1	Wholesale of musical instruments	industrial-classification-2007:46.49		
46.49	Wholesale of other household goods	industrial-classification-2007:46.4		
46.48	Wholesale of watches and jewellery	industrial-classification-2007:46.4		
46.47	Wholesale of furniture, carpets and lighting equipment	industrial-classification-2007:46.4		
46.46	Wholesale of pharmaceutical goods	industrial-classification-2007:46.4		
46.45	Wholesale of perfume and cosmetics	industrial-classification-2007:46.4		
46.44	Wholesale of china and glassware and cleaning materials	industrial-classification-2007:46.4		
46.43/9	Wholesale of radio and television goods and of electrical household appliances (other than of gramophone records, audio tapes, compact discs and video tapes and the equipment on which these are played) n.e.c.	industrial-classification-2007:46.43		
46.43/1	Wholesale of gramophone records, audio tapes, compact discs and video tapes and of the equipment on which these are played	industrial-classification-2007:46.43		
46.43	Wholesale of electrical household appliances	industrial-classification-2007:46.4		
46.42	Wholesale of clothing and footwear	industrial-classification-2007:46.4		
46.41	Wholesale of textiles	industrial-classification-2007:46.4		
46.4	Wholesale of household goods	industrial-classification-2007:46		
46.39	Non-specialised wholesale of food, beverages and tobacco	industrial-classification-2007:46.3		
46.38	Wholesale of other food, including fish, crustaceans and molluscs	industrial-classification-2007:46.3		
46.37	Wholesale of coffee, tea, cocoa and spices	industrial-classification-2007:46.3		
46.36	Wholesale of sugar and chocolate and sugar confectionery	industrial-classification-2007:46.3		
46.35	Wholesale of tobacco products	industrial-classification-2007:46.3		
46.34/2	Wholesale of wine, beer, spirits and other alcoholic beverages	industrial-classification-2007:46.34		
46.34/1	Wholesale of fruit and vegetable juices, mineral waters and soft drinks	industrial-classification-2007:46.34		
46.34	Wholesale of beverages	industrial-classification-2007:46.3		
46.33	Wholesale of dairy products, eggs and edible oils and fats	industrial-classification-2007:46.3		
46.32	Wholesale of meat and meat products	industrial-classification-2007:46.3		
46.31	Wholesale of fruit and vegetables	industrial-classification-2007:46.3		
46.3	Wholesale of food, beverages and tobacco	industrial-classification-2007:46		
46.24	Wholesale of hides, skins and leather	industrial-classification-2007:46.2		
46.23	Wholesale of live animals	industrial-classification-2007:46.2		
46.22	Wholesale of flowers and plants	industrial-classification-2007:46.2		
46.21	Wholesale of grain, unmanufactured tobacco, seeds and animal feeds	industrial-classification-2007:46.2		
46.2	Wholesale of agricultural raw materials and live animals	industrial-classification-2007:46		
46.19	Agents involved in the sale of a variety of goods	industrial-classification-2007:46.1		
46.18	Agents specialised in the sale of other particular products	industrial-classification-2007:46.1		
46.17	Agents involved in the sale of food, beverages and tobacco	industrial-classification-2007:46.1		
46.16	Agents involved in the sale of textiles, clothing, fur, footwear and leather goods	industrial-classification-2007:46.1		
46.15	Agents involved in the sale of furniture, household goods, hardware and ironmongery	industrial-classification-2007:46.1		
46.14	Agents involved in the sale of machinery, industrial equipment, ships and aircraft	industrial-classification-2007:46.1		
46.13	Agents involved in the sale of timber and building materials	industrial-classification-2007:46.1		
46.12	Agents involved in the sale of fuels, ores, metals and industrial chemicals	industrial-classification-2007:46.1		
46.11	Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods	industrial-classification-2007:46.1		
46.1	Wholesale on a fee or contract basis	industrial-classification-2007:46		
46	Wholesale trade, except of motor vehicles and motorcycles	industrial-classification-2007:G		
45.40	Sale, maintenance and repair of motorcycles and related parts and accessories	industrial-classification-2007:45.4		
45.4	Sale, maintenance and repair of motorcycles and related parts and accessories	industrial-classification-2007:45		
45.32	Retail trade of motor vehicle parts and accessories	industrial-classification-2007:45.3		
45.31	Wholesale trade of motor vehicle parts and accessories	industrial-classification-2007:45.3		
45.3	Sale of motor vehicle parts and accessories	industrial-classification-2007:45		
45.20	Maintenance and repair of motor vehicles	industrial-classification-2007:45.2		
45.2	Maintenance and repair of motor vehicles	industrial-classification-2007:45		
45.19	Sale of other motor vehicles	industrial-classification-2007:45.1		
45.11/2	Sale of used cars and light motor vehicles	industrial-classification-2007:45.11		
45.11/1	Sale of new cars and light motor vehicles	industrial-classification-2007:45.11		
45.11	Sale of cars and light motor vehicles	industrial-classification-2007:45.1		
45.1	Sale of motor vehicles	industrial-classification-2007:45		
45	Wholesale and retail trade and repair of motor vehicles and motorcycles	industrial-classification-2007:G		
43.99/9	Specialised construction activities (other than scaffold erection) n.e.c.	industrial-classification-2007:43.99		
43.99/1	Scaffold erection	industrial-classification-2007:43.99		
43.99	Other specialised construction activities n.e.c.	industrial-classification-2007:43.9		
43.91	Roofing activities	industrial-classification-2007:43.9		
43.9	Other specialised construction activities	industrial-classification-2007:43		
43.39	Other building completion and finishing	industrial-classification-2007:43.3		
43.34/2	Glazing	industrial-classification-2007:43.34		
43.34/1	Painting	industrial-classification-2007:43.34		
43.34	Painting and glazing	industrial-classification-2007:43.3		
43.33	Floor and wall covering	industrial-classification-2007:43.3		
43.32	Joinery installation	industrial-classification-2007:43.3		
43.31	Plastering	industrial-classification-2007:43.3		
43.3	Building completion and finishing	industrial-classification-2007:43		
43.29	Other construction installation	industrial-classification-2007:43.2		
43.22	Plumbing, heat and air-conditioning installation	industrial-classification-2007:43.2		
43.21	Electrical installation	industrial-classification-2007:43.2		
43.2	Electrical, plumbing and other construction installation activities	industrial-classification-2007:43		
43.13	Test drilling and boring	industrial-classification-2007:43.1		
43.12	Site preparation	industrial-classification-2007:43.1		
43.11	Demolition	industrial-classification-2007:43.1		
43.1	Demolition and site preparation	industrial-classification-2007:43		
43	Specialised construction activities	industrial-classification-2007:F		
42.99	Construction of other civil engineering projects n.e.c.	industrial-classification-2007:42.9		
42.91	Construction of water projects	industrial-classification-2007:42.9		
42.9	Construction of other civil engineering projects	industrial-classification-2007:42		
42.22	Construction of utility projects for electricity and telecommunications	industrial-classification-2007:42.2		
42.21	Construction of utility projects for fluids	industrial-classification-2007:42.2		
42.2	Construction of utility projects	industrial-classification-2007:42		
42.13	Construction of bridges and tunnels	industrial-classification-2007:42.1		
42.12	Construction of railways and underground railways	industrial-classification-2007:42.1		
42.11	Construction of roads and motorways	industrial-classification-2007:42.1		
42.1	Construction of roads and railways	industrial-classification-2007:42		
42	Civil engineering	industrial-classification-2007:F		
41.20/2	Construction of domestic buildings	industrial-classification-2007:41.20		
41.20/1	Construction of commercial buildings	industrial-classification-2007:41.20		
41.20	Construction of residential and non-residential buildings	industrial-classification-2007:41.2		
41.2	Construction of residential and non-residential buildings	industrial-classification-2007:41		
41.10	Development of building projects	industrial-classification-2007:41.1		
41.1	Development of building projects	industrial-classification-2007:41		
41	Construction of buildings	industrial-classification-2007:F		
39.00	Remediation activities and other waste management services	industrial-classification-2007:39.0		
39.0	Remediation activities and other waste management services	industrial-classification-2007:This division includes the provision of remediation services, i.e. the cleanup of contaminated buildings and sites, soil, surface or ground water.		
39	Remediation activities and other waste management services.	industrial-classification-2007:E		
38.32	Recovery of sorted materials	industrial-classification-2007:38.3		
38.31	Dismantling of wrecks	industrial-classification-2007:38.3		
38.3	Materials recovery	industrial-classification-2007:38		
38.22	Treatment and disposal of hazardous waste	industrial-classification-2007:38.2		
38.21	Treatment and disposal of non-hazardous waste	industrial-classification-2007:38.2		
38.2	Waste treatment and disposal	industrial-classification-2007:38		
38.12	Collection of hazardous waste	industrial-classification-2007:38.1		
38.11	Collection of non-hazardous waste	industrial-classification-2007:38.1		
38.1	Waste collection	industrial-classification-2007:38		
38	Waste collection, treatment and disposal activities; materials recovery	industrial-classification-2007:E		
37.00	Sewerage	industrial-classification-2007:37.0		
37.0	Sewerage	industrial-classification-2007:37		
37	Sewerage	industrial-classification-2007:E		
36.00	Water collection, treatment and supply	industrial-classification-2007:36.0		
36.0	Water collection, treatment and supply	industrial-classification-2007:36		
36	Water collection, treatment and supply	industrial-classification-2007:E		
35.30	Steam and air conditioning supply	industrial-classification-2007:35.3		
35.3	Steam and air conditioning supply	industrial-classification-2007:35		
35.23	Trade of gas through mains	industrial-classification-2007:35.2		
35.22	Distribution of gaseous fuels through mains	industrial-classification-2007:35.2		
35.21	Manufacture of gas	industrial-classification-2007:35.2		
35.2	Manufacture of gas; distribution of gaseous fuels through mains	industrial-classification-2007:35		
35.14	Trade of electricity	industrial-classification-2007:35.1		
35.13	Distribution of electricity	industrial-classification-2007:35.1		
35.12	Transmission of electricity	industrial-classification-2007:35.1		
35.11	Production of electricity	industrial-classification-2007:35.1		
35.1	Electric power generation, transmission and distribution	industrial-classification-2007:35		
35	Electricity, gas, steam and air conditioning supply	industrial-classification-2007:D		
33.20	Installation of industrial machinery and equipment	industrial-classification-2007:33.2		
33.2	Installation of industrial machinery and equipment	industrial-classification-2007:33		
33.19	Repair of other equipment	industrial-classification-2007:33.1		
33.17	Repair and maintenance of other transport equipment	industrial-classification-2007:33.1		
33.16	Repair and maintenance of aircraft and spacecraft	industrial-classification-2007:33.1		
33.15	Repair and maintenance of ships and boats	industrial-classification-2007:33.1		
33.14	Repair of electrical equipment	industrial-classification-2007:33.1		
33.13	Repair of electronic and optical equipment	industrial-classification-2007:33.1		
33.12	Repair of machinery	industrial-classification-2007:33.1		
33.11	Repair of fabricated metal products	industrial-classification-2007:33.1		
33.1	Repair of fabricated metal products, machinery and equipment	industrial-classification-2007:33		
33	Repair and installation of machinery and equipment	industrial-classification-2007:C		
32.99	Other manufacturing n.e.c.	industrial-classification-2007:32.9		
32.91	Manufacture of brooms and brushes	industrial-classification-2007:32.9		
32.9	Other manufacturing n.e.c.	industrial-classification-2007:32		
32.50	Manufacture of medical and dental instruments and supplies	industrial-classification-2007:32.5		
32.5	Manufacture of medical and dental instruments and supplies	industrial-classification-2007:32		
32.40/9	Manufacture of games and toys (other than professional and arcade games and toys) n.e.c.	industrial-classification-2007:32.40		
32.40/1	Manufacture of professional and arcade games and toys	industrial-classification-2007:32.40		
32.40	Manufacture of games and toys	industrial-classification-2007:32.4		
32.4	Manufacture of games and toys	industrial-classification-2007:32		
32.30	Manufacture of sports goods	industrial-classification-2007:32.3		
32.3	Manufacture of sports goods	industrial-classification-2007:32		
32.20	Manufacture of musical instruments	industrial-classification-2007:32.2		
32.2	Manufacture of musical instruments	industrial-classification-2007:32		
32.13	Manufacture of imitation jewellery and related articles	industrial-classification-2007:32.1		
32.12	Manufacture of jewellery and related articles	industrial-classification-2007:32.1		
32.11	Striking of coins	industrial-classification-2007:32.1		
32.1	Manufacture of jewellery, bijouterie and related articles	industrial-classification-2007:32		
32	Other manufacturing	industrial-classification-2007:C		
31.09	Manufacture of other furniture	industrial-classification-2007:31.0		
31.03	Manufacture of mattresses	industrial-classification-2007:31.0		
31.02	Manufacture of kitchen furniture	industrial-classification-2007:31.0		
31.01	Manufacture of office and shop furniture	industrial-classification-2007:31.0		
31.0	Manufacture of furniture	industrial-classification-2007:31		
31	Manufacture of furniture	industrial-classification-2007:C		
30.99	Manufacture of other transport equipment n.e.c.	industrial-classification-2007:30.9		
30.92	Manufacture of bicycles and invalid carriages	industrial-classification-2007:30.9		
30.91	Manufacture of motorcycles	industrial-classification-2007:30.9		
30.9	Manufacture of transport equipment n.e.c.	industrial-classification-2007:30		
30.40	Manufacture of military fighting vehicles	industrial-classification-2007:30.4		
30.4	Manufacture of military fighting vehicles	industrial-classification-2007:30		
30.30	Manufacture of air and spacecraft and related machinery	industrial-classification-2007:30.3		
30.3	Manufacture of air and spacecraft and related machinery	industrial-classification-2007:30		
30.20	Manufacture of railway locomotives and rolling stock	industrial-classification-2007:30.2		
30.2	Manufacture of railway locomotives and rolling stock	industrial-classification-2007:30		
30.12	Building of pleasure and sporting boats	industrial-classification-2007:30.1		
30.11	Building of ships and floating structures	industrial-classification-2007:30.1		
30.1	Building of ships and boats	industrial-classification-2007:30		
30	Manufacture of other transport equipment	industrial-classification-2007:C		
29.32	Manufacture of other parts and accessories for motor vehicles	industrial-classification-2007:29.3		
29.31	Manufacture of electrical and electronic equipment for motor vehicles	industrial-classification-2007:29.3		
29.3	Manufacture of parts and accessories for motor vehicles	industrial-classification-2007:29		
29.20/3	Manufacture of caravans	industrial-classification-2007:29.20		
29.20/2	Manufacture of trailers and semi-trailers	industrial-classification-2007:29.20		
29.20/1	Manufacture of bodies (coachwork) for motor vehicles (except caravans)	industrial-classification-2007:29.20		
29.20	Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers	industrial-classification-2007:29.2		
29.2	Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers	industrial-classification-2007:29		
29.10	Manufacture of motor vehicles	industrial-classification-2007:29.1		
29.1	Manufacture of motor vehicles	industrial-classification-2007:29		
