industrial-classification-correlation	source	target	start-date	end-date
101	industrial-classification-2003:15.13/1	industrial-classification-2007:10.13		
102	industrial-classification-2003:15.13/9	industrial-classification-2007:10.13		
103	industrial-classification-2003:15.20/1	industrial-classification-2007:10.20		
104	industrial-classification-2003:15.20/9	industrial-classification-2007:10.20		
105	industrial-classification-2003:15.31	industrial-classification-2007:10.31		
106	industrial-classification-2003:15.32	industrial-classification-2007:10.32		
107	industrial-classification-2003:01.41	industrial-classification-2007:10.39		
108	industrial-classification-2003:15.33	industrial-classification-2007:10.39		
109	industrial-classification-2003:51.31	industrial-classification-2007:10.39		
110	industrial-classification-2003:01.13/9	industrial-classification-2007:10.41		
111	industrial-classification-2003:15.41	industrial-classification-2007:10.41		
112	industrial-classification-2003:15.42	industrial-classification-2007:10.41		
113	industrial-classification-2003:15.43	industrial-classification-2007:10.42		
114	industrial-classification-2003:15.51/1	industrial-classification-2007:10.51/1		
115	industrial-classification-2003:15.51/2	industrial-classification-2007:10.51/2		
116	industrial-classification-2003:15.51/9	industrial-classification-2007:10.51/9		
117	industrial-classification-2003:15.52	industrial-classification-2007:10.52		
118	industrial-classification-2003:15.61/1	industrial-classification-2007:10.61/1		
119	industrial-classification-2003:15.61/2	industrial-classification-2007:10.61/2		
120	industrial-classification-2003:15.62	industrial-classification-2007:10.62		
121	industrial-classification-2003:15.81	industrial-classification-2007:10.71		
122	industrial-classification-2003:15.82	industrial-classification-2007:10.72		
123	industrial-classification-2003:15.85	industrial-classification-2007:10.73		
124	industrial-classification-2003:15.83	industrial-classification-2007:10.81		
125	industrial-classification-2003:15.84/1	industrial-classification-2007:10.82/1		
126	industrial-classification-2003:15.84/2	industrial-classification-2007:10.82/2		
127	industrial-classification-2003:15.86/1	industrial-classification-2007:10.83/1		
128	industrial-classification-2003:15.86/2	industrial-classification-2007:10.83/2		
129	industrial-classification-2003:14.40	industrial-classification-2007:10.84		
130	industrial-classification-2003:15.87	industrial-classification-2007:10.84		
131	industrial-classification-2003:15.13/9	industrial-classification-2007:10.85		
132	industrial-classification-2003:15.20/9	industrial-classification-2007:10.85		
133	industrial-classification-2003:15.33	industrial-classification-2007:10.85		
134	industrial-classification-2003:15.81	industrial-classification-2007:10.85		
135	industrial-classification-2003:15.85	industrial-classification-2007:10.85		
136	industrial-classification-2003:15.88	industrial-classification-2007:10.86		
137	industrial-classification-2003:15.13/9	industrial-classification-2007:10.89		
138	industrial-classification-2003:15.13/9	industrial-classification-2007:10.89		
139	industrial-classification-2003:15.20/9	industrial-classification-2007:10.89		
140	industrial-classification-2003:15.33	industrial-classification-2007:10.89		
141	industrial-classification-2003:15.51/2	industrial-classification-2007:10.89		
142	industrial-classification-2003:15.62	industrial-classification-2007:10.89		
143	industrial-classification-2003:15.81	industrial-classification-2007:10.89		
144	industrial-classification-2003:15.89/1	industrial-classification-2007:10.89		
145	industrial-classification-2003:15.89/9	industrial-classification-2007:10.89		
146	industrial-classification-2003:15.71	industrial-classification-2007:10.91		
147	industrial-classification-2003:15.72	industrial-classification-2007:10.92		
148	industrial-classification-2003:15.91	industrial-classification-2007:11.01		
149	industrial-classification-2003:15.92	industrial-classification-2007:11.01		
150	industrial-classification-2003:51.34/2	industrial-classification-2007:11.01		
151	industrial-classification-2003:01.13/1	industrial-classification-2007:11.02		
152	industrial-classification-2003:15.93/1	industrial-classification-2007:11.02		
153	industrial-classification-2003:15.93/2	industrial-classification-2007:11.02		
154	industrial-classification-2003:51.34/2	industrial-classification-2007:11.02		
155	industrial-classification-2003:15.94/1	industrial-classification-2007:11.03		
156	industrial-classification-2003:15.94/9	industrial-classification-2007:11.03		
157	industrial-classification-2003:15.95	industrial-classification-2007:11.04		
158	industrial-classification-2003:15.96	industrial-classification-2007:11.05		
159	industrial-classification-2003:15.97	industrial-classification-2007:11.06		
160	industrial-classification-2003:15.98	industrial-classification-2007:11.07		
161	industrial-classification-2003:16	industrial-classification-2007:12		
162	industrial-classification-2003:17.11	industrial-classification-2007:13.10		
163	industrial-classification-2003:17.12	industrial-classification-2007:13.10		
164	industrial-classification-2003:17.13	industrial-classification-2007:13.10		
165	industrial-classification-2003:17.14	industrial-classification-2007:13.10		
166	industrial-classification-2003:17.15	industrial-classification-2007:13.10		
167	industrial-classification-2003:17.16	industrial-classification-2007:13.10		
168	industrial-classification-2003:17.17	industrial-classification-2007:13.10		
169	industrial-classification-2003:17.21	industrial-classification-2007:13.20		
170	industrial-classification-2003:17.22	industrial-classification-2007:13.20		
171	industrial-classification-2003:17.23	industrial-classification-2007:13.20		
172	industrial-classification-2003:17.24	industrial-classification-2007:13.20		
173	industrial-classification-2003:17.25	industrial-classification-2007:13.20		
174	industrial-classification-2003:17.30	industrial-classification-2007:13.30		
175	industrial-classification-2003:52.74	industrial-classification-2007:13.30		
176	industrial-classification-2003:17.60	industrial-classification-2007:13.91		
177	industrial-classification-2003:17.40/1	industrial-classification-2007:13.92/1		
178	industrial-classification-2003:17.40/2	industrial-classification-2007:13.92/2		
179	industrial-classification-2003:17.40/3	industrial-classification-2007:13.92/3		
180	industrial-classification-2003:17.51/1	industrial-classification-2007:13.93/1		
181	industrial-classification-2003:17.51/2	industrial-classification-2007:13.93/1		
182	industrial-classification-2003:17.51/9	industrial-classification-2007:13.93/9		
183	industrial-classification-2003:17.52	industrial-classification-2007:13.94		
184	industrial-classification-2003:17.53	industrial-classification-2007:13.95		
185	industrial-classification-2003:17.54/2	industrial-classification-2007:13.96		
186	industrial-classification-2003:17.54/9	industrial-classification-2007:13.96		
187	industrial-classification-2003:17.54/1	industrial-classification-2007:13.99		
188	industrial-classification-2003:17.54/2	industrial-classification-2007:13.99		
189	industrial-classification-2003:17.54/9	industrial-classification-2007:13.99		
190	industrial-classification-2003:36.63/9	industrial-classification-2007:13.99		
191	industrial-classification-2003:18.10	industrial-classification-2007:14.11		
192	industrial-classification-2003:18.21	industrial-classification-2007:14.12		
193	industrial-classification-2003:18.22/1	industrial-classification-2007:14.13/1		
194	industrial-classification-2003:18.22/2	industrial-classification-2007:14.13/2		
195	industrial-classification-2003:18.23/1	industrial-classification-2007:14.14/1		
196	industrial-classification-2003:18.23/2	industrial-classification-2007:14.14/2		
197	industrial-classification-2003:17.71	industrial-classification-2007:14.19		
198	industrial-classification-2003:18.24/1	industrial-classification-2007:14.19		
199	industrial-classification-2003:18.24/3	industrial-classification-2007:14.19		
200	industrial-classification-2003:18.24/9	industrial-classification-2007:14.19		
201	industrial-classification-2003:18.30	industrial-classification-2007:14.20		
202	industrial-classification-2003:17.71	industrial-classification-2007:14.31		
203	industrial-classification-2003:17.72	industrial-classification-2007:14.39		
204	industrial-classification-2003:18.30	industrial-classification-2007:15.11		
205	industrial-classification-2003:19.10	industrial-classification-2007:15.11		
206	industrial-classification-2003:19.20	industrial-classification-2007:15.12		
207	industrial-classification-2003:36.63/9	industrial-classification-2007:15.12		
