industrial-classification-correlation	source	target	start-date	end-date
436	industrial-classification-2003:29.71	industrial-classification-2007:28.25		
437	industrial-classification-2003:29.24	industrial-classification-2007:28.29		
438	industrial-classification-2003:29.43	industrial-classification-2007:28.29		
439	industrial-classification-2003:33.20/2	industrial-classification-2007:28.29		
440	industrial-classification-2003:29.31	industrial-classification-2007:28.30/1		
441	industrial-classification-2003:29.32	industrial-classification-2007:28.30/2		
442	industrial-classification-2003:29.53	industrial-classification-2007:28.30/2		
443	industrial-classification-2003:28.62	industrial-classification-2007:28.41		
444	industrial-classification-2003:29.42	industrial-classification-2007:28.41		
445	industrial-classification-2003:28.62	industrial-classification-2007:28.49		
446	industrial-classification-2003:29.43	industrial-classification-2007:28.49		
447	industrial-classification-2003:31.62	industrial-classification-2007:28.49		
448	industrial-classification-2003:29.51	industrial-classification-2007:28.91		
449	industrial-classification-2003:28.62	industrial-classification-2007:28.92/1		
450	industrial-classification-2003:29.52/1	industrial-classification-2007:28.92/1		
451	industrial-classification-2003:29.52/2	industrial-classification-2007:28.92/2		
452	industrial-classification-2003:34.10	industrial-classification-2007:28.92/2		
453	industrial-classification-2003:29.52/3	industrial-classification-2007:28.92/3		
454	industrial-classification-2003:29.53	industrial-classification-2007:28.93		
455	industrial-classification-2003:29.54	industrial-classification-2007:28.94		
456	industrial-classification-2003:29.56	industrial-classification-2007:28.94		
457	industrial-classification-2003:29.55	industrial-classification-2007:28.95		
458	industrial-classification-2003:29.56	industrial-classification-2007:28.96		
459	industrial-classification-2003:29.56	industrial-classification-2007:28.99		
460	industrial-classification-2003:31.62	industrial-classification-2007:28.99		
461	industrial-classification-2003:33.20/2	industrial-classification-2007:28.99		
462	industrial-classification-2003:33.40/3	industrial-classification-2007:28.99		
463	industrial-classification-2003:35.30	industrial-classification-2007:28.99		
464	industrial-classification-2003:36.50/1	industrial-classification-2007:28.99		
465	industrial-classification-2003:36.63/9	industrial-classification-2007:28.99		
466	industrial-classification-2003:34.10	industrial-classification-2007:29.10		
467	industrial-classification-2003:34.20/1	industrial-classification-2007:29.20/1		
468	industrial-classification-2003:34.20/2	industrial-classification-2007:29.20/2		
469	industrial-classification-2003:34.20/3	industrial-classification-2007:29.20/3		
470	industrial-classification-2003:31.61	industrial-classification-2007:29.31		
471	industrial-classification-2003:31.62	industrial-classification-2007:29.31		
472	industrial-classification-2003:34.30	industrial-classification-2007:29.32		
473	industrial-classification-2003:36.11	industrial-classification-2007:29.32		
474	industrial-classification-2003:35.11	industrial-classification-2007:30.11		
475	industrial-classification-2003:36.11	industrial-classification-2007:30.11		
476	industrial-classification-2003:35.12	industrial-classification-2007:30.12		
477	industrial-classification-2003:31.62	industrial-classification-2007:30.20		
478	industrial-classification-2003:35.20	industrial-classification-2007:30.20		
479	industrial-classification-2003:36.11	industrial-classification-2007:30.20		
480	industrial-classification-2003:29.60	industrial-classification-2007:30.30		
481	industrial-classification-2003:35.30	industrial-classification-2007:30.30		
482	industrial-classification-2003:36.11	industrial-classification-2007:30.30		
483	industrial-classification-2003:29.60	industrial-classification-2007:30.40		
484	industrial-classification-2003:34.10	industrial-classification-2007:30.91		
485	industrial-classification-2003:35.41	industrial-classification-2007:30.91		
486	industrial-classification-2003:35.42	industrial-classification-2007:30.92		
487	industrial-classification-2003:35.43	industrial-classification-2007:30.92		
488	industrial-classification-2003:36.63/9	industrial-classification-2007:30.92		
489	industrial-classification-2003:35.50	industrial-classification-2007:30.99		
490	industrial-classification-2003:35.50	industrial-classification-2007:31.01		
491	industrial-classification-2003:36.11	industrial-classification-2007:31.01		
492	industrial-classification-2003:36.12	industrial-classification-2007:31.01		
493	industrial-classification-2003:36.11	industrial-classification-2007:31.02		
494	industrial-classification-2003:36.13	industrial-classification-2007:31.02		
495	industrial-classification-2003:36.15	industrial-classification-2007:31.03		
496	industrial-classification-2003:36.11	industrial-classification-2007:31.09		
497	industrial-classification-2003:36.14	industrial-classification-2007:31.09		
498	industrial-classification-2003:36.21	industrial-classification-2007:32.11		
499	industrial-classification-2003:33.50	industrial-classification-2007:32.12		
500	industrial-classification-2003:36.22	industrial-classification-2007:32.12		
501	industrial-classification-2003:33.50	industrial-classification-2007:32.13		
502	industrial-classification-2003:36.61	industrial-classification-2007:32.13		
503	industrial-classification-2003:36.30	industrial-classification-2007:32.20		
504	industrial-classification-2003:36.40	industrial-classification-2007:32.30		
505	industrial-classification-2003:36.50/1	industrial-classification-2007:32.40/1		
506	industrial-classification-2003:36.50/9	industrial-classification-2007:32.40/9		
507	industrial-classification-2003:17.40/3	industrial-classification-2007:32.50		
508	industrial-classification-2003:24.42/2	industrial-classification-2007:32.50		
509	industrial-classification-2003:25.13	industrial-classification-2007:32.50		
510	industrial-classification-2003:29.24	industrial-classification-2007:32.50		
511	industrial-classification-2003:33.10	industrial-classification-2007:32.50		
512	industrial-classification-2003:33.20/1	industrial-classification-2007:32.50		
513	industrial-classification-2003:33.40/1	industrial-classification-2007:32.50		
514	industrial-classification-2003:36.62	industrial-classification-2007:32.91		
515	industrial-classification-2003:18.10	industrial-classification-2007:32.99		
516	industrial-classification-2003:18.24/1	industrial-classification-2007:32.99		
517	industrial-classification-2003:18.24/3	industrial-classification-2007:32.99		
518	industrial-classification-2003:18.24/9	industrial-classification-2007:32.99		
519	industrial-classification-2003:19.20	industrial-classification-2007:32.99		
520	industrial-classification-2003:20.51	industrial-classification-2007:32.99		
521	industrial-classification-2003:20.52	industrial-classification-2007:32.99		
522	industrial-classification-2003:22.11	industrial-classification-2007:32.99		
523	industrial-classification-2003:25.13	industrial-classification-2007:32.99		
524	industrial-classification-2003:25.24	industrial-classification-2007:32.99		
525	industrial-classification-2003:28.75	industrial-classification-2007:32.99		
526	industrial-classification-2003:33.10	industrial-classification-2007:32.99		
527	industrial-classification-2003:36.40	industrial-classification-2007:32.99		
528	industrial-classification-2003:36.63/1	industrial-classification-2007:32.99		
529	industrial-classification-2003:36.63/9	industrial-classification-2007:32.99		
530	industrial-classification-2003:28.11	industrial-classification-2007:33.11		
531	industrial-classification-2003:28.21	industrial-classification-2007:33.11		
532	industrial-classification-2003:28.22	industrial-classification-2007:33.11		
533	industrial-classification-2003:28.30	industrial-classification-2007:33.11		
534	industrial-classification-2003:28.61	industrial-classification-2007:33.11		
535	industrial-classification-2003:28.62	industrial-classification-2007:33.11		
536	industrial-classification-2003:28.63	industrial-classification-2007:33.11		
537	industrial-classification-2003:28.71	industrial-classification-2007:33.11		
538	industrial-classification-2003:28.75	industrial-classification-2007:33.11		
539	industrial-classification-2003:29.60	industrial-classification-2007:33.11		
540	industrial-classification-2003:34.20/2	industrial-classification-2007:33.11		
541	industrial-classification-2003:35.50	industrial-classification-2007:33.11		
542	industrial-classification-2003:28.52	industrial-classification-2007:33.12		
543	industrial-classification-2003:29.11	industrial-classification-2007:33.12		
544	industrial-classification-2003:29.12/1	industrial-classification-2007:33.12		
545	industrial-classification-2003:29.12/2	industrial-classification-2007:33.12		
546	industrial-classification-2003:29.13	industrial-classification-2007:33.12		
547	industrial-classification-2003:29.14	industrial-classification-2007:33.12		
548	industrial-classification-2003:29.21	industrial-classification-2007:33.12		
549	industrial-classification-2003:29.22	industrial-classification-2007:33.12		
550	industrial-classification-2003:29.23	industrial-classification-2007:33.12		
551	industrial-classification-2003:29.24	industrial-classification-2007:33.12		
552	industrial-classification-2003:29.31	industrial-classification-2007:33.12		
553	industrial-classification-2003:29.32	industrial-classification-2007:33.12		
554	industrial-classification-2003:29.41	industrial-classification-2007:33.12		
555	industrial-classification-2003:29.42	industrial-classification-2007:33.12		
556	industrial-classification-2003:29.43	industrial-classification-2007:33.12		
557	industrial-classification-2003:29.51	industrial-classification-2007:33.12		
558	industrial-classification-2003:29.52/1	industrial-classification-2007:33.12		
559	industrial-classification-2003:29.52/2	industrial-classification-2007:33.12		
560	industrial-classification-2003:29.52/3	industrial-classification-2007:33.12		
561	industrial-classification-2003:29.53	industrial-classification-2007:33.12		
562	industrial-classification-2003:29.54	industrial-classification-2007:33.12		
563	industrial-classification-2003:29.55	industrial-classification-2007:33.12		
564	industrial-classification-2003:29.56	industrial-classification-2007:33.12		
565	industrial-classification-2003:72.50	industrial-classification-2007:33.12		
566	industrial-classification-2003:29.24	industrial-classification-2007:33.13		
567	industrial-classification-2003:31.10	industrial-classification-2007:33.13		
568	industrial-classification-2003:31.62	industrial-classification-2007:33.13		
569	industrial-classification-2003:32.10	industrial-classification-2007:33.13		
570	industrial-classification-2003:32.30	industrial-classification-2007:33.13		
571	industrial-classification-2003:33.10	industrial-classification-2007:33.13		
572	industrial-classification-2003:33.20/1	industrial-classification-2007:33.13		
573	industrial-classification-2003:33.40/1	industrial-classification-2007:33.13		
574	industrial-classification-2003:33.40/2	industrial-classification-2007:33.13		
575	industrial-classification-2003:33.40/3	industrial-classification-2007:33.13		
576	industrial-classification-2003:33.50	industrial-classification-2007:33.13		
577	industrial-classification-2003:29.71	industrial-classification-2007:33.14		
578	industrial-classification-2003:31.10	industrial-classification-2007:33.14		
579	industrial-classification-2003:31.20	industrial-classification-2007:33.14		
580	industrial-classification-2003:31.40	industrial-classification-2007:33.14		
581	industrial-classification-2003:31.50	industrial-classification-2007:33.14		
582	industrial-classification-2003:31.62	industrial-classification-2007:33.14		
583	industrial-classification-2003:33.10	industrial-classification-2007:33.14		
584	industrial-classification-2003:33.20/2	industrial-classification-2007:33.14		
585	industrial-classification-2003:35.11	industrial-classification-2007:33.15		
586	industrial-classification-2003:35.12	industrial-classification-2007:33.15		
587	industrial-classification-2003:35.30	industrial-classification-2007:33.16		
588	industrial-classification-2003:34.20/2	industrial-classification-2007:33.17		
589	industrial-classification-2003:34.20/3	industrial-classification-2007:33.17		
590	industrial-classification-2003:35.20	industrial-classification-2007:33.17		
591	industrial-classification-2003:35.43	industrial-classification-2007:33.17		
592	industrial-classification-2003:35.50	industrial-classification-2007:33.17		
593	industrial-classification-2003:17.40/2	industrial-classification-2007:33.19		
594	industrial-classification-2003:17.52	industrial-classification-2007:33.19		
595	industrial-classification-2003:20.40	industrial-classification-2007:33.19		
596	industrial-classification-2003:20.51	industrial-classification-2007:33.19		
597	industrial-classification-2003:25.13	industrial-classification-2007:33.19		
598	industrial-classification-2003:25.21	industrial-classification-2007:33.19		
599	industrial-classification-2003:25.24	industrial-classification-2007:33.19		
600	industrial-classification-2003:26.15	industrial-classification-2007:33.19		
601	industrial-classification-2003:26.40	industrial-classification-2007:33.19		
602	industrial-classification-2003:26.81	industrial-classification-2007:33.19		
603	industrial-classification-2003:36.30	industrial-classification-2007:33.19		
604	industrial-classification-2003:36.50/1	industrial-classification-2007:33.19		
605	industrial-classification-2003:25.21	industrial-classification-2007:33.20		
606	industrial-classification-2003:26.15	industrial-classification-2007:33.20		
607	industrial-classification-2003:26.40	industrial-classification-2007:33.20		
608	industrial-classification-2003:26.81	industrial-classification-2007:33.20		
609	industrial-classification-2003:28.11	industrial-classification-2007:33.20		
610	industrial-classification-2003:28.21	industrial-classification-2007:33.20		
611	industrial-classification-2003:28.22	industrial-classification-2007:33.20		
612	industrial-classification-2003:28.30	industrial-classification-2007:33.20		
613	industrial-classification-2003:28.52	industrial-classification-2007:33.20		
614	industrial-classification-2003:28.62	industrial-classification-2007:33.20		
615	industrial-classification-2003:28.63	industrial-classification-2007:33.20		
616	industrial-classification-2003:28.71	industrial-classification-2007:33.20		
617	industrial-classification-2003:28.73	industrial-classification-2007:33.20		
618	industrial-classification-2003:28.74	industrial-classification-2007:33.20		
619	industrial-classification-2003:28.75	industrial-classification-2007:33.20		
620	industrial-classification-2003:29.11	industrial-classification-2007:33.20		
621	industrial-classification-2003:29.12/1	industrial-classification-2007:33.20		
622	industrial-classification-2003:29.12/2	industrial-classification-2007:33.20		
623	industrial-classification-2003:29.13	industrial-classification-2007:33.20		
624	industrial-classification-2003:29.14	industrial-classification-2007:33.20		
625	industrial-classification-2003:29.21	industrial-classification-2007:33.20		
626	industrial-classification-2003:29.22	industrial-classification-2007:33.20		
627	industrial-classification-2003:29.23	industrial-classification-2007:33.20		
628	industrial-classification-2003:29.24	industrial-classification-2007:33.20		
629	industrial-classification-2003:29.32	industrial-classification-2007:33.20		
630	industrial-classification-2003:29.42	industrial-classification-2007:33.20		
631	industrial-classification-2003:29.43	industrial-classification-2007:33.20		
632	industrial-classification-2003:29.51	industrial-classification-2007:33.20		
633	industrial-classification-2003:29.52/1	industrial-classification-2007:33.20		
634	industrial-classification-2003:29.52/2	industrial-classification-2007:33.20		
635	industrial-classification-2003:29.52/3	industrial-classification-2007:33.20		
636	industrial-classification-2003:29.53	industrial-classification-2007:33.20		
637	industrial-classification-2003:29.54	industrial-classification-2007:33.20		
638	industrial-classification-2003:29.55	industrial-classification-2007:33.20		
639	industrial-classification-2003:29.56	industrial-classification-2007:33.20		
640	industrial-classification-2003:29.60	industrial-classification-2007:33.20		
641	industrial-classification-2003:30.01	industrial-classification-2007:33.20		
642	industrial-classification-2003:30.02	industrial-classification-2007:33.20		
643	industrial-classification-2003:31.10	industrial-classification-2007:33.20		
644	industrial-classification-2003:31.20	industrial-classification-2007:33.20		
645	industrial-classification-2003:31.30	industrial-classification-2007:33.20		
646	industrial-classification-2003:31.40	industrial-classification-2007:33.20		
647	industrial-classification-2003:31.50	industrial-classification-2007:33.20		
648	industrial-classification-2003:31.61	industrial-classification-2007:33.20		
649	industrial-classification-2003:31.62	industrial-classification-2007:33.20		
650	industrial-classification-2003:32.10	industrial-classification-2007:33.20		
651	industrial-classification-2003:32.20/1	industrial-classification-2007:33.20		
652	industrial-classification-2003:32.20/2	industrial-classification-2007:33.20		
653	industrial-classification-2003:32.30	industrial-classification-2007:33.20		
654	industrial-classification-2003:33.10	industrial-classification-2007:33.20		
655	industrial-classification-2003:33.20/1	industrial-classification-2007:33.20		
656	industrial-classification-2003:33.20/2	industrial-classification-2007:33.20		
657	industrial-classification-2003:33.30/1	industrial-classification-2007:33.20		
658	industrial-classification-2003:33.30/2	industrial-classification-2007:33.20		
659	industrial-classification-2003:33.40/1	industrial-classification-2007:33.20		
660	industrial-classification-2003:33.40/2	industrial-classification-2007:33.20		
661	industrial-classification-2003:33.40/3	industrial-classification-2007:33.20		
662	industrial-classification-2003:33.50	industrial-classification-2007:33.20		
663	industrial-classification-2003:34.10	industrial-classification-2007:33.20		
664	industrial-classification-2003:35.11	industrial-classification-2007:33.20		
665	industrial-classification-2003:36.11	industrial-classification-2007:33.20		
666	industrial-classification-2003:36.50/1	industrial-classification-2007:33.20		
667	industrial-classification-2003:40.11	industrial-classification-2007:35.11		
668	industrial-classification-2003:40.12	industrial-classification-2007:35.12		
669	industrial-classification-2003:40.13	industrial-classification-2007:35.13		
670	industrial-classification-2003:40.13	industrial-classification-2007:35.14		
671	industrial-classification-2003:40.21	industrial-classification-2007:35.21		
672	industrial-classification-2003:40.22	industrial-classification-2007:35.22		
673	industrial-classification-2003:40.22	industrial-classification-2007:35.23		
674	industrial-classification-2003:40.30	industrial-classification-2007:35.30		
675	industrial-classification-2003:41	industrial-classification-2007:36		
676	industrial-classification-2003:90.01	industrial-classification-2007:37		
677	industrial-classification-2003:90.02	industrial-classification-2007:38.11		
678	industrial-classification-2003:90.03	industrial-classification-2007:38.11		
679	industrial-classification-2003:23.30	industrial-classification-2007:38.12		
680	industrial-classification-2003:40.11	industrial-classification-2007:38.12		
681	industrial-classification-2003:90.02	industrial-classification-2007:38.12		
682	industrial-classification-2003:14.50	industrial-classification-2007:38.21		
683	industrial-classification-2003:24.15	industrial-classification-2007:38.21		
684	industrial-classification-2003:90.02	industrial-classification-2007:38.21		
685	industrial-classification-2003:23.30	industrial-classification-2007:38.22		
686	industrial-classification-2003:90.02	industrial-classification-2007:38.22		
687	industrial-classification-2003:37.10	industrial-classification-2007:38.31		
688	industrial-classification-2003:37.10	industrial-classification-2007:38.32		
689	industrial-classification-2003:37.20	industrial-classification-2007:38.32		
690	industrial-classification-2003:90.03	industrial-classification-2007:39		
691	industrial-classification-2003:70.11	industrial-classification-2007:41.10		
692	industrial-classification-2003:20.30	industrial-classification-2007:41.20/1		
693	industrial-classification-2003:25.23/9	industrial-classification-2007:41.20/1		
694	industrial-classification-2003:28.11	industrial-classification-2007:41.20/1		
695	industrial-classification-2003:45.21/1	industrial-classification-2007:41.20/1		
696	industrial-classification-2003:45.23	industrial-classification-2007:41.20/1		
697	industrial-classification-2003:20.30	industrial-classification-2007:41.20/2		
698	industrial-classification-2003:25.23/9	industrial-classification-2007:41.20/2		
699	industrial-classification-2003:28.11	industrial-classification-2007:41.20/2		
700	industrial-classification-2003:45.21/2	industrial-classification-2007:41.20/2		
701	industrial-classification-2003:45.23	industrial-classification-2007:41.20/2		
702	industrial-classification-2003:45.23	industrial-classification-2007:42.11		
703	industrial-classification-2003:45.21/3	industrial-classification-2007:42.12		
704	industrial-classification-2003:45.23	industrial-classification-2007:42.12		
705	industrial-classification-2003:45.21/3	industrial-classification-2007:42.13		
706	industrial-classification-2003:45.21/3	industrial-classification-2007:42.21		
707	industrial-classification-2003:45.24	industrial-classification-2007:42.21		
708	industrial-classification-2003:45.25	industrial-classification-2007:42.21		
709	industrial-classification-2003:45.21/3	industrial-classification-2007:42.22		
710	industrial-classification-2003:45.24	industrial-classification-2007:42.91		
711	industrial-classification-2003:45.21/3	industrial-classification-2007:42.99		
712	industrial-classification-2003:45.23	industrial-classification-2007:42.99		
713	industrial-classification-2003:45.11	industrial-classification-2007:43.11		
714	industrial-classification-2003:45.11	industrial-classification-2007:43.12		
715	industrial-classification-2003:45.12	industrial-classification-2007:43.13		
716	industrial-classification-2003:45.31	industrial-classification-2007:43.21		
717	industrial-classification-2003:45.34	industrial-classification-2007:43.21		
718	industrial-classification-2003:28.22	industrial-classification-2007:43.22		
719	industrial-classification-2003:45.31	industrial-classification-2007:43.22		
720	industrial-classification-2003:45.33	industrial-classification-2007:43.22		
721	industrial-classification-2003:29.22	industrial-classification-2007:43.29		
722	industrial-classification-2003:45.31	industrial-classification-2007:43.29		
723	industrial-classification-2003:45.32	industrial-classification-2007:43.29		
724	industrial-classification-2003:45.34	industrial-classification-2007:43.29		
725	industrial-classification-2003:45.41	industrial-classification-2007:43.31		
726	industrial-classification-2003:20.30	industrial-classification-2007:43.32		
727	industrial-classification-2003:25.23/9	industrial-classification-2007:43.32		
728	industrial-classification-2003:28.12	industrial-classification-2007:43.32		
729	industrial-classification-2003:45.42	industrial-classification-2007:43.32		
730	industrial-classification-2003:45.43	industrial-classification-2007:43.33		
731	industrial-classification-2003:45.44	industrial-classification-2007:43.34/1		
732	industrial-classification-2003:45.44	industrial-classification-2007:43.34/2		
733	industrial-classification-2003:45.45	industrial-classification-2007:43.39		
734	industrial-classification-2003:20.30	industrial-classification-2007:43.91		
735	industrial-classification-2003:45.22	industrial-classification-2007:43.91		
736	industrial-classification-2003:45.25	industrial-classification-2007:43.99/1		
737	industrial-classification-2003:45.21/1	industrial-classification-2007:43.99/9		
738	industrial-classification-2003:45.22	industrial-classification-2007:43.99/9		
739	industrial-classification-2003:45.24	industrial-classification-2007:43.99/9		
740	industrial-classification-2003:45.25	industrial-classification-2007:43.99/9		
741	industrial-classification-2003:45.45	industrial-classification-2007:43.99/9		
742	industrial-classification-2003:45.50	industrial-classification-2007:43.99/9		
743	industrial-classification-2003:50.10/1	industrial-classification-2007:45.11/1		
744	industrial-classification-2003:50.10/2	industrial-classification-2007:45.11/2		
745	industrial-classification-2003:50.10/1	industrial-classification-2007:45.19		
746	industrial-classification-2003:50.10/2	industrial-classification-2007:45.19		
747	industrial-classification-2003:50.20	industrial-classification-2007:45.20		
748	industrial-classification-2003:50.30	industrial-classification-2007:45.31		
749	industrial-classification-2003:50.30	industrial-classification-2007:45.32		
750	industrial-classification-2003:50.40	industrial-classification-2007:45.40		
751	industrial-classification-2003:51.11	industrial-classification-2007:46.11		
752	industrial-classification-2003:51.12	industrial-classification-2007:46.12		
753	industrial-classification-2003:51.13	industrial-classification-2007:46.13		
754	industrial-classification-2003:51.14	industrial-classification-2007:46.14		
755	industrial-classification-2003:51.15	industrial-classification-2007:46.15		
756	industrial-classification-2003:51.16	industrial-classification-2007:46.16		
757	industrial-classification-2003:51.17	industrial-classification-2007:46.17		
758	industrial-classification-2003:51.18	industrial-classification-2007:46.18		
759	industrial-classification-2003:51.19	industrial-classification-2007:46.19		
760	industrial-classification-2003:51.21	industrial-classification-2007:46.21		
761	industrial-classification-2003:51.25	industrial-classification-2007:46.21		
762	industrial-classification-2003:51.22	industrial-classification-2007:46.22		
763	industrial-classification-2003:51.23	industrial-classification-2007:46.23		
764	industrial-classification-2003:51.24/1	industrial-classification-2007:46.24		
765	industrial-classification-2003:51.24/9	industrial-classification-2007:46.24		
766	industrial-classification-2003:51.31	industrial-classification-2007:46.31		
767	industrial-classification-2003:51.38	industrial-classification-2007:46.31		
768	industrial-classification-2003:51.32	industrial-classification-2007:46.32		
769	industrial-classification-2003:51.33/1	industrial-classification-2007:46.33		
770	industrial-classification-2003:51.33/2	industrial-classification-2007:46.33		
771	industrial-classification-2003:51.33/3	industrial-classification-2007:46.33		
772	industrial-classification-2003:51.34/1	industrial-classification-2007:46.34/1		
773	industrial-classification-2003:51.34/2	industrial-classification-2007:46.34/2		
774	industrial-classification-2003:51.35	industrial-classification-2007:46.35		
775	industrial-classification-2003:51.36	industrial-classification-2007:46.36		
776	industrial-classification-2003:51.37	industrial-classification-2007:46.37		
777	industrial-classification-2003:51.38	industrial-classification-2007:46.38		
778	industrial-classification-2003:51.39	industrial-classification-2007:46.39		
779	industrial-classification-2003:51.41	industrial-classification-2007:46.41		
780	industrial-classification-2003:51.42/1	industrial-classification-2007:46.42		
781	industrial-classification-2003:51.42/2	industrial-classification-2007:46.42		
782	industrial-classification-2003:51.42/3	industrial-classification-2007:46.42		
783	industrial-classification-2003:51.42/9	industrial-classification-2007:46.42		
784	industrial-classification-2003:51.43/1	industrial-classification-2007:46.43/1		
785	industrial-classification-2003:51.43/9	industrial-classification-2007:46.43/9		
786	industrial-classification-2003:51.47/6	industrial-classification-2007:46.43/9		
787	industrial-classification-2003:51.47/9	industrial-classification-2007:46.43/9		
788	industrial-classification-2003:51.44	industrial-classification-2007:46.44		
789	industrial-classification-2003:51.45	industrial-classification-2007:46.45		
790	industrial-classification-2003:51.46	industrial-classification-2007:46.46		
791	industrial-classification-2003:51.43/9	industrial-classification-2007:46.47		
792	industrial-classification-2003:51.47/1	industrial-classification-2007:46.47		
793	industrial-classification-2003:51.47/9	industrial-classification-2007:46.47		
794	industrial-classification-2003:51.47/3	industrial-classification-2007:46.48		
795	industrial-classification-2003:51.47/4	industrial-classification-2007:46.48		
796	industrial-classification-2003:51.47/9	industrial-classification-2007:46.48		
797	industrial-classification-2003:51.47/5	industrial-classification-2007:46.49/1		
798	industrial-classification-2003:51.44	industrial-classification-2007:46.49/9		
799	industrial-classification-2003:51.47/7	industrial-classification-2007:46.49/9		
800	industrial-classification-2003:51.47/8	industrial-classification-2007:46.49/9		
801	industrial-classification-2003:51.47/9	industrial-classification-2007:46.49/9		
802	industrial-classification-2003:51.84	industrial-classification-2007:46.51		
803	industrial-classification-2003:51.43/1	industrial-classification-2007:46.52		
804	industrial-classification-2003:51.86	industrial-classification-2007:46.52		
805	industrial-classification-2003:51.88	industrial-classification-2007:46.61		
806	industrial-classification-2003:51.81	industrial-classification-2007:46.62		
807	industrial-classification-2003:51.82	industrial-classification-2007:46.63		
808	industrial-classification-2003:51.83	industrial-classification-2007:46.64		
809	industrial-classification-2003:51.85	industrial-classification-2007:46.65		
810	industrial-classification-2003:51.85	industrial-classification-2007:46.66		
811	industrial-classification-2003:51.87	industrial-classification-2007:46.69		
812	industrial-classification-2003:51.51/1	industrial-classification-2007:46.71/1		
813	industrial-classification-2003:51.51/9	industrial-classification-2007:46.71/9		
814	industrial-classification-2003:51.52	industrial-classification-2007:46.72		
815	industrial-classification-2003:51.44	industrial-classification-2007:46.73		
816	industrial-classification-2003:51.47/9	industrial-classification-2007:46.73		
817	industrial-classification-2003:51.53	industrial-classification-2007:46.73		
818	industrial-classification-2003:51.54	industrial-classification-2007:46.74		
819	industrial-classification-2003:51.55	industrial-classification-2007:46.75		
820	industrial-classification-2003:51.55	industrial-classification-2007:46.76		
821	industrial-classification-2003:51.56	industrial-classification-2007:46.76		
822	industrial-classification-2003:51.57	industrial-classification-2007:46.77		
823	industrial-classification-2003:51.90	industrial-classification-2007:46.90		
824	industrial-classification-2003:52.11/1	industrial-classification-2007:47.11		
825	industrial-classification-2003:52.11/2	industrial-classification-2007:47.11		
826	industrial-classification-2003:52.11/3	industrial-classification-2007:47.11		
827	industrial-classification-2003:52.12	industrial-classification-2007:47.19		
828	industrial-classification-2003:52.21	industrial-classification-2007:47.21		
829	industrial-classification-2003:52.27	industrial-classification-2007:47.21		
830	industrial-classification-2003:52.22	industrial-classification-2007:47.22		
831	industrial-classification-2003:52.23	industrial-classification-2007:47.23		
832	industrial-classification-2003:52.24	industrial-classification-2007:47.24		
833	industrial-classification-2003:52.25	industrial-classification-2007:47.25		
834	industrial-classification-2003:52.26	industrial-classification-2007:47.26		
835	industrial-classification-2003:52.27	industrial-classification-2007:47.29		
836	industrial-classification-2003:50.50	industrial-classification-2007:47.30		
837	industrial-classification-2003:52.48/2	industrial-classification-2007:47.41		
838	industrial-classification-2003:52.48/5	industrial-classification-2007:47.41		
839	industrial-classification-2003:52.48/8	industrial-classification-2007:47.42/1		
840	industrial-classification-2003:52.48/2	industrial-classification-2007:47.42/9		
841	industrial-classification-2003:52.45	industrial-classification-2007:47.43		
842	industrial-classification-2003:52.41	industrial-classification-2007:47.51		
843	industrial-classification-2003:52.46	industrial-classification-2007:47.52		
844	industrial-classification-2003:52.44	industrial-classification-2007:47.53		
845	industrial-classification-2003:52.48/1	industrial-classification-2007:47.53		
846	industrial-classification-2003:52.48/9	industrial-classification-2007:47.53		
847	industrial-classification-2003:52.45	industrial-classification-2007:47.54		
848	industrial-classification-2003:52.45	industrial-classification-2007:47.59/1		
849	industrial-classification-2003:52.44	industrial-classification-2007:47.59/9		
850	industrial-classification-2003:52.48/2	industrial-classification-2007:47.59/9		
851	industrial-classification-2003:52.47	industrial-classification-2007:47.61		
852	industrial-classification-2003:52.47	industrial-classification-2007:47.62		
853	industrial-classification-2003:52.45	industrial-classification-2007:47.63		
854	industrial-classification-2003:52.48/5	industrial-classification-2007:47.64		
855	industrial-classification-2003:52.48/5	industrial-classification-2007:47.65		
856	industrial-classification-2003:52.42/1	industrial-classification-2007:47.71		
857	industrial-classification-2003:52.42/2	industrial-classification-2007:47.71		
858	industrial-classification-2003:52.42/3	industrial-classification-2007:47.71		
859	industrial-classification-2003:52.42/4	industrial-classification-2007:47.71		
860	industrial-classification-2003:52.43/1	industrial-classification-2007:47.72/1		
861	industrial-classification-2003:52.43/2	industrial-classification-2007:47.72/2		
862	industrial-classification-2003:52.31	industrial-classification-2007:47.73		
863	industrial-classification-2003:52.32/1	industrial-classification-2007:47.74/1		
864	industrial-classification-2003:52.32/9	industrial-classification-2007:47.74/9		
865	industrial-classification-2003:52.33	industrial-classification-2007:47.75		
866	industrial-classification-2003:52.48/9	industrial-classification-2007:47.76		
867	industrial-classification-2003:52.48/4	industrial-classification-2007:47.77		
868	industrial-classification-2003:52.48/6	industrial-classification-2007:47.78/1		
869	industrial-classification-2003:52.48/7	industrial-classification-2007:47.78/2		
870	industrial-classification-2003:52.48/2	industrial-classification-2007:47.78/9		
871	industrial-classification-2003:52.48/5	industrial-classification-2007:47.78/9		
872	industrial-classification-2003:52.48/9	industrial-classification-2007:47.78/9		
873	industrial-classification-2003:52.50/1	industrial-classification-2007:47.79/1		
874	industrial-classification-2003:52.63	industrial-classification-2007:47.79/1		
